end	Gene	start	(bp)	Strand	Gene
ENSG00000199667	100185138	100185239	8	1	misc_RNA
ENSG00000223281	98921233	98921550	8	-1	misc_RNA
ENSG00000265802	45002150	45002447	13	1	misc_RNA
ENSG00000200857	69507510	69507622	7	-1	misc_RNA
ENSG00000264169	130400266	130400565	9	1	misc_RNA
ENSG00000223260	96410432	96410782	X	-1	misc_RNA
ENSG00000201074	93417855	93417966	9	1	misc_RNA
ENSG00000201635	45903187	45903298	3	1	misc_RNA
ENSG00000223308	46720193	46720512	15	-1	misc_RNA
ENSG00000201118	19089593	19089688	9	1	misc_RNA
ENSG00000253010	53415294	53415607	6	-1	misc_RNA
ENSG00000200171	44153385	44153480	1	-1	misc_RNA
ENSG00000244232	128785147	128785448	3	1	misc_RNA
ENSG00000200702	44401603	44401704	X	1	misc_RNA
ENSG00000200135	112149360	112149472	12	1	misc_RNA
ENSG00000206669	36858227	36858329	19	-1	misc_RNA
ENSG00000223269	99120176	99120490	11	1	misc_RNA
ENSG00000275001	16767235	16767416	10	1	misc_RNA
ENSG00000275589	53963629	53963697	12	1	misc_RNA
ENSG00000201464	79301963	79302066	6	-1	misc_RNA
ENSG00000276015	2697851	2698076	11	1	misc_RNA
ENSG00000277168	37953508	37953780	1	1	misc_RNA
ENSG00000276608	30050620	30050695	CHR_HSCHR6_MHC_APD_CTG1	1	misc_RNA
ENSG00000252879	212099521	212099676	1	-1	misc_RNA
ENSG00000277032	93397139	93397234	CHR_HSCHR14_7_CTG1	-1	misc_RNA
ENSG00000199410	16912215	16912317	X	-1	misc_RNA
ENSG00000207305	2453010	2453117	20	-1	misc_RNA
ENSG00000277913	50044649	50044768	13	1	misc_RNA
ENSG00000201088	174264878	174264981	2	-1	misc_RNA
ENSG00000276057	30971296	30971382	22	1	misc_RNA
ENSG00000200615	33004250	33004345	11	-1	misc_RNA
ENSG00000202260	17576206	17576510	20	-1	misc_RNA
ENSG00000266841	30923328	30923419	CHR_HSCHR6_MHC_DBB_CTG1	-1	misc_RNA
ENSG00000278406	192775943	192776073	2	1	misc_RNA
ENSG00000275909	48432927	48433208	16	-1	misc_RNA
ENSG00000202345	168791498	168791610	5	1	misc_RNA
ENSG00000274866	1997484	1997552	11	1	misc_RNA
ENSG00000199975	73832382	73832690	11	-1	misc_RNA
ENSG00000240098	126245035	126245282	11	1	misc_RNA
ENSG00000242853	119212857	119213146	10	1	misc_RNA
ENSG00000240853	131725168	131725467	9	-1	misc_RNA
ENSG00000265159	33353481	33353576	CHR_HSCHR6_MHC_MANN_CTG1	1	misc_RNA
ENSG00000201279	3663815	3663911	11	-1	misc_RNA
ENSG00000207025	18395994	18396095	X	-1	misc_RNA
ENSG00000207286	25287432	25287533	6	-1	misc_RNA
ENSG00000266548	31563664	31563765	CHR_HSCHR6_MHC_APD_CTG1	-1	misc_RNA
ENSG00000266627	3920245	3920506	19	-1	misc_RNA
ENSG00000223300	73858061	73858165	14	-1	misc_RNA
ENSG00000275014	19736975	19737254	13	-1	misc_RNA
ENSG00000274603	99526097	99526205	6	1	misc_RNA
ENSG00000240993	19176288	19176589	12	-1	misc_RNA
ENSG00000223254	85264296	85264402	1	1	misc_RNA
ENSG00000207326	246426006	246426119	1	-1	misc_RNA
ENSG00000243871	43391384	43391727	15	-1	misc_RNA
ENSG00000214305	39161270	39161520	3	1	misc_RNA
ENSG00000273549	179629151	179629410	5	1	misc_RNA
ENSG00000264840	64871504	64871784	17	-1	misc_RNA
ENSG00000243420	75957833	75958130	12	-1	misc_RNA
ENSG00000199440	77821030	77821142	14	-1	misc_RNA
ENSG00000201196	52852607	52852703	10	1	misc_RNA
ENSG00000202523	83992932	83993033	9	1	misc_RNA
ENSG00000244169	1065580	1065875	3	-1	misc_RNA
ENSG00000207032	34389943	34390051	9	-1	misc_RNA
ENSG00000239710	92974827	92975114	1	-1	misc_RNA
ENSG00000275961	96004563	96004850	2	-1	misc_RNA
ENSG00000201749	114615455	114615568	9	-1	misc_RNA
ENSG00000201239	82417226	82417321	17	1	misc_RNA
ENSG00000265727	74242608	74242908	X	-1	misc_RNA
ENSG00000201633	83636196	83636290	4	-1	misc_RNA
ENSG00000207282	18113467	18113579	20	-1	misc_RNA
ENSG00000273966	17568962	17569051	Y	-1	misc_RNA
ENSG00000240964	78938009	78938292	3	-1	misc_RNA
ENSG00000238875	39874255	39874515	22	-1	misc_RNA
ENSG00000200788	127470875	127470987	9	1	misc_RNA
ENSG00000241074	168451324	168451606	2	1	misc_RNA
ENSG00000240869	20421583	20421887	6	-1	misc_RNA
ENSG00000207240	31382317	31382430	18	1	misc_RNA
ENSG00000238933	61642383	61642494	9	1	misc_RNA
ENSG00000278778	3063472	3063701	4	1	misc_RNA
ENSG00000222976	57789449	57789732	17	1	misc_RNA
ENSG00000276730	36072686	36072762	9	1	misc_RNA
ENSG00000264646	29747504	29747605	CHR_HSCHR6_MHC_MCF_CTG1	1	misc_RNA
ENSG00000277460	27919384	27919545	22	1	misc_RNA
ENSG00000222432	77895880	77895992	7	1	misc_RNA
ENSG00000201724	99681786	99681877	15	-1	misc_RNA
ENSG00000244308	120110498	120110786	3	-1	misc_RNA
ENSG00000275775	46660217	46660318	CHR_HSCHR17_1_CTG5	1	misc_RNA
ENSG00000222784	30843823	30844110	1	1	misc_RNA
ENSG00000222313	148822164	148822448	X	-1	misc_RNA
ENSG00000252891	89898283	89898392	6	-1	misc_RNA
ENSG00000242893	51593919	51594215	13	-1	misc_RNA
ENSG00000244314	195146728	195147003	3	-1	misc_RNA
ENSG00000276991	26673254	26673630	22	1	misc_RNA
ENSG00000206741	172779982	172780094	5	-1	misc_RNA
ENSG00000277826	93637179	93637338	14	1	misc_RNA
ENSG00000244003	58770524	58770820	16	1	misc_RNA
ENSG00000201565	67297653	67297754	7	-1	misc_RNA
ENSG00000207404	108891437	108891546	5	1	misc_RNA
ENSG00000274984	73067231	73067332	7	1	misc_RNA
ENSG00000222898	61631680	61632012	8	-1	misc_RNA
ENSG00000207105	48995912	48996022	15	-1	misc_RNA
ENSG00000276626	124792319	124792562	3	-1	misc_RNA
ENSG00000222664	93026252	93026542	1	1	misc_RNA
ENSG00000274430	73944332	73944466	X	1	misc_RNA
ENSG00000201364	21933143	21933438	10	1	misc_RNA
ENSG00000275586	148876018	148876286	7	1	misc_RNA
ENSG00000274647	91632912	91633023	12	-1	misc_RNA
ENSG00000200390	127829747	127829852	2	-1	misc_RNA
ENSG00000207401	110934406	110934507	9	1	misc_RNA
ENSG00000202222	39881566	39881678	1	-1	misc_RNA
ENSG00000200334	149940030	149940131	5	-1	misc_RNA
ENSG00000263947	14601823	14602094	CHR_HSCHR16_1_CTG1	-1	misc_RNA
ENSG00000206929	101446825	101446932	12	1	misc_RNA
ENSG00000212556	127202372	127202473	3	-1	misc_RNA
ENSG00000276562	41578903	41579186	9	1	misc_RNA
ENSG00000274772	144683169	144683464	8	1	misc_RNA
ENSG00000277762	147689256	147689537	1	1	misc_RNA
ENSG00000275559	50081843	50081978	13	1	misc_RNA
ENSG00000207223	64652888	64652989	15	1	misc_RNA
ENSG00000276185	87345305	87345486	7	1	misc_RNA
ENSG00000277066	50045143	50045232	13	1	misc_RNA
ENSG00000244389	70180144	70180440	1	-1	misc_RNA
ENSG00000275230	62363581	62363864	9	1	misc_RNA
ENSG00000223229	96695856	96696167	1	-1	misc_RNA
ENSG00000243383	105293664	105293946	4	1	misc_RNA
ENSG00000275602	45943436	45943713	CHR_HSCHR17_2_CTG5	1	misc_RNA
ENSG00000274424	30405307	30405597	15	-1	misc_RNA
ENSG00000275853	55731100	55731403	7	1	misc_RNA
ENSG00000207173	58083068	58083168	16	-1	misc_RNA
ENSG00000200085	248029120	248029221	1	1	misc_RNA
ENSG00000252283	28061967	28062068	17	1	misc_RNA
ENSG00000252874	47820200	47820289	11	-1	misc_RNA
ENSG00000265885	110097851	110098151	13	-1	misc_RNA
ENSG00000207395	69406441	69406552	15	1	misc_RNA
ENSG00000207024	64296037	64296138	11	1	misc_RNA
ENSG00000242650	51716657	51716922	7	1	misc_RNA
ENSG00000199595	161699506	161699607	1	1	misc_RNA
ENSG00000252486	27252119	27252235	X	-1	misc_RNA
ENSG00000206663	19985058	19985159	X	-1	misc_RNA
ENSG00000275071	55128285	55128444	13	1	misc_RNA
ENSG00000202392	6997012	6997328	4	1	misc_RNA
ENSG00000278696	30800160	30800396	15	1	misc_RNA
ENSG00000252316	148963315	148963410	7	1	misc_RNA
ENSG00000200131	106679977	106680329	9	1	misc_RNA
ENSG00000278702	35399997	35400319	1	1	misc_RNA
ENSG00000243075	50841498	50841785	12	-1	misc_RNA
ENSG00000277473	11644067	11644343	6	1	misc_RNA
ENSG00000201412	92710499	92710608	10	-1	misc_RNA
ENSG00000240641	51975673	51975959	6	1	misc_RNA
ENSG00000199883	16842253	16842587	11	1	misc_RNA
ENSG00000277721	46553522	46553775	X	-1	misc_RNA
ENSG00000206699	99527826	99527927	8	1	misc_RNA
ENSG00000200170	72220752	72220852	10	1	misc_RNA
ENSG00000199263	68474553	68474664	16	-1	misc_RNA
ENSG00000278217	65502914	65503008	11	1	misc_RNA
ENSG00000242216	25818234	25818532	18	-1	misc_RNA
ENSG00000266863	6661651	6661942	9	1	misc_RNA
ENSG00000207473	73346936	73347048	10	1	misc_RNA
ENSG00000263679	31573052	31573153	CHR_HSCHR6_MHC_MCF_CTG1	-1	misc_RNA
ENSG00000200011	93460725	93460826	12	-1	misc_RNA
ENSG00000206640	185257911	185258015	1	-1	misc_RNA
ENSG00000243723	158447166	158447461	2	-1	misc_RNA
ENSG00000207495	69802940	69803041	13	1	misc_RNA
ENSG00000199475	97598933	97599260	7	-1	misc_RNA
ENSG00000206582	34526510	34526606	20	-1	misc_RNA
ENSG00000274262	35889558	35889804	CHR_HSCHR17_7_CTG4	1	misc_RNA
ENSG00000278569	17205652	17205928	7	1	misc_RNA
ENSG00000264676	236072295	236072556	2	1	misc_RNA
ENSG00000202412	129818932	129819033	3	1	misc_RNA
ENSG00000200211	95336106	95336201	13	-1	misc_RNA
ENSG00000206822	63621760	63621871	14	1	misc_RNA
ENSG00000201794	2999094	2999394	7	1	misc_RNA
ENSG00000223118	123869256	123869570	2	-1	misc_RNA
ENSG00000278218	11148584	11148769	X	-1	misc_RNA
ENSG00000239560	44117098	44117397	1	-1	misc_RNA
ENSG00000274230	97493178	97493286	12	1	misc_RNA
ENSG00000207243	178554	178656	16	1	misc_RNA
ENSG00000264352	34809233	34809556	2	-1	misc_RNA
ENSG00000223223	59706057	59706383	11	-1	misc_RNA
ENSG00000274086	147911822	147911948	X	1	misc_RNA
ENSG00000240116	22977877	22978127	8	1	misc_RNA
ENSG00000274660	100666695	100667009	10	-1	misc_RNA
ENSG00000277563	24255246	24255333	10	1	misc_RNA
ENSG00000274459	68575858	68576136	12	-1	misc_RNA
ENSG00000240823	61444149	61444423	11	1	misc_RNA
ENSG00000263410	77885377	77885634	X	1	misc_RNA
ENSG00000278242	25458926	25459184	Y	1	misc_RNA
ENSG00000222343	47272597	47272889	15	1	misc_RNA
ENSG00000207411	43620878	43620984	2	-1	misc_RNA
ENSG00000276696	56634038	56634167	15	-1	misc_RNA
ENSG00000252965	125528244	125528349	3	-1	misc_RNA
ENSG00000223174	76890263	76890613	14	1	misc_RNA
ENSG00000277062	96101951	96102249	12	-1	misc_RNA
ENSG00000222240	188155839	188156180	1	-1	misc_RNA
ENSG00000206854	60789560	60789661	13	1	misc_RNA
ENSG00000222162	13353208	13353523	11	1	misc_RNA
ENSG00000264767	38098414	38098700	20	-1	misc_RNA
ENSG00000207021	81573490	81573602	17	1	misc_RNA
ENSG00000252250	69334600	69334692	2	1	misc_RNA
ENSG00000200049	143309466	143309566	4	1	misc_RNA
ENSG00000202361	61874084	61874182	17	-1	misc_RNA
ENSG00000273725	9279532	9279816	11	-1	misc_RNA
ENSG00000277051	45847630	45847940	20	-1	misc_RNA
ENSG00000277452	150566562	150566860	1	-1	misc_RNA
ENSG00000283691	118994560	118994655	11	1	misc_RNA
ENSG00000202388	122025195	122025304	3	-1	misc_RNA
ENSG00000252607	60341824	60341941	12	-1	misc_RNA
ENSG00000241529	113632704	113632998	3	1	misc_RNA
ENSG00000264415	30853833	30854135	CHR_HSCHR6_MHC_QBL_CTG1	1	misc_RNA
ENSG00000277830	49278427	49278624	20	1	misc_RNA
ENSG00000264573	41345576	41345876	X	-1	misc_RNA
ENSG00000276722	58842433	58842546	20	1	misc_RNA
ENSG00000206951	32945339	32945451	2	-1	misc_RNA
ENSG00000200506	99583017	99583118	14	1	misc_RNA
ENSG00000223158	25950704	25950821	13	-1	misc_RNA
ENSG00000201933	43096732	43096844	7	1	misc_RNA
ENSG00000243633	21215537	21215830	7	-1	misc_RNA
ENSG00000263360	82844455	82844757	16	1	misc_RNA
ENSG00000276653	25058032	25058329	2	1	misc_RNA
ENSG00000241198	131134086	131134390	X	-1	misc_RNA
ENSG00000207438	68503152	68503259	10	1	misc_RNA
ENSG00000199332	31402152	31402250	6	-1	misc_RNA
ENSG00000276891	28387196	28387485	15	1	misc_RNA
ENSG00000222880	80343515	80343792	12	-1	misc_RNA
ENSG00000276522	61427617	61427877	9	-1	misc_RNA
ENSG00000223202	74685224	74685505	11	1	misc_RNA
ENSG00000265315	46537534	46537814	17	1	misc_RNA
ENSG00000199366	23582016	23582121	18	-1	misc_RNA
ENSG00000273591	149290513	149290762	1	1	misc_RNA
ENSG00000277732	134598318	134598518	8	1	misc_RNA
ENSG00000241693	38231720	38231993	22	1	misc_RNA
ENSG00000252198	58441844	58441992	14	1	misc_RNA
ENSG00000207488	90251923	90252020	7	1	misc_RNA
ENSG00000252412	37013225	37013319	22	1	misc_RNA
ENSG00000274817	53968002	53968178	12	1	misc_RNA
ENSG00000207294	15150697	15150796	16	1	misc_RNA
ENSG00000274420	47818005	47818128	3	1	misc_RNA
ENSG00000222979	121410916	121411200	10	1	misc_RNA
ENSG00000252398	32045873	32045979	3	1	misc_RNA
ENSG00000266113	31760998	31761086	CHR_HSCHR6_MHC_DBB_CTG1	-1	misc_RNA
ENSG00000243398	172237326	172237591	3	1	misc_RNA
ENSG00000252975	39710085	39710176	4	-1	misc_RNA
ENSG00000251982	217251556	217251875	2	1	misc_RNA
ENSG00000207474	24703556	24703665	13	-1	misc_RNA
ENSG00000277794	40730981	40731253	13	1	misc_RNA
ENSG00000200432	128067800	128067901	2	1	misc_RNA
ENSG00000278554	73959642	73959927	3	-1	misc_RNA
ENSG00000273979	40917111	40917381	22	1	misc_RNA
ENSG00000252633	7324297	7324595	Y	-1	misc_RNA
ENSG00000277265	5871753	5872050	7	-1	misc_RNA
ENSG00000202251	7266055	7266166	17	-1	misc_RNA
ENSG00000223007	5126046	5126337	5	1	misc_RNA
ENSG00000213167	116320751	116321031	7	1	misc_RNA
ENSG00000243560	46688797	46689068	19	-1	misc_RNA
ENSG00000206660	32056746	32056839	10	1	misc_RNA
ENSG00000239679	43863274	43863549	4	1	misc_RNA
ENSG00000206895	4811188	4811289	7	-1	misc_RNA
ENSG00000242971	21793883	21794159	18	1	misc_RNA
ENSG00000273974	74280402	74280495	X	1	misc_RNA
ENSG00000201297	125362819	125362929	4	1	misc_RNA
ENSG00000239702	44290856	44291151	17	-1	misc_RNA
ENSG00000200040	75928513	75928625	6	1	misc_RNA
ENSG00000265033	49152651	49152944	X	1	misc_RNA
ENSG00000222467	121603073	121603164	2	-1	misc_RNA
ENSG00000276179	84890744	84890961	11	1	misc_RNA
ENSG00000277628	109124357	109124609	2	-1	misc_RNA
ENSG00000278357	45523061	45523341	CHR_HSCHR17_1_CTG5	-1	misc_RNA
ENSG00000276514	94877599	94877777	5	-1	misc_RNA
ENSG00000206995	52162751	52162852	15	1	misc_RNA
ENSG00000200553	119947131	119947232	4	1	misc_RNA
ENSG00000222514	138091254	138091315	7	1	misc_RNA
ENSG00000274742	101912998	101913279	10	-1	misc_RNA
ENSG00000222529	118970498	118970595	11	1	misc_RNA
ENSG00000263969	37215605	37215903	21	1	misc_RNA
ENSG00000201228	31506303	31506404	12	-1	misc_RNA
ENSG00000200834	33830978	33831078	9	1	misc_RNA
ENSG00000263841	153500463	153500764	1	-1	misc_RNA
ENSG00000206967	108229503	108229604	11	-1	misc_RNA
ENSG00000266467	68007718	68008017	10	-1	misc_RNA
ENSG00000266523	30814786	30814896	CHR_HSCHR6_MHC_MCF_CTG1	-1	misc_RNA
ENSG00000277694	27099967	27100111	7	1	misc_RNA
ENSG00000251852	103433461	103433561	7	-1	misc_RNA
ENSG00000275090	33103008	33103306	3	1	misc_RNA
ENSG00000206914	122768099	122768200	12	1	misc_RNA
ENSG00000255851	49017793	49018061	17	-1	misc_RNA
ENSG00000241613	53258077	53258372	13	1	misc_RNA
ENSG00000201566	37435115	37435216	7	1	misc_RNA
ENSG00000251792	50086982	50087083	14	1	misc_RNA
ENSG00000201959	77041647	77041748	7	1	misc_RNA
ENSG00000264592	36191915	36192170	1	1	misc_RNA
ENSG00000207142	42454720	42454821	12	1	misc_RNA
ENSG00000274915	63102142	63102259	20	1	misc_RNA
ENSG00000275266	1996540	1996610	11	1	misc_RNA
ENSG00000239942	67825310	67825600	10	-1	misc_RNA
ENSG00000240723	139100377	139100658	4	1	misc_RNA
ENSG00000201010	48217575	48217899	2	1	misc_RNA
ENSG00000199424	136571705	136571815	X	-1	misc_RNA
ENSG00000240205	115717725	115718013	12	1	misc_RNA
ENSG00000206990	165662585	165662687	1	-1	misc_RNA
ENSG00000202146	54099191	54099302	12	-1	misc_RNA
ENSG00000277001	91314716	91314997	5	-1	misc_RNA
ENSG00000222705	28442575	28442896	10	-1	misc_RNA
ENSG00000252106	34873831	34873927	6	1	misc_RNA
ENSG00000222352	21545344	21545644	22	-1	misc_RNA
ENSG00000263616	8582352	8582655	8	-1	misc_RNA
ENSG00000263905	3094171	3094509	20	1	misc_RNA
ENSG00000200685	13686550	13686658	11	-1	misc_RNA
ENSG00000239745	74390692	74390989	X	1	misc_RNA
ENSG00000253096	103725728	103725825	14	-1	misc_RNA
ENSG00000200488	76445079	76445410	2	-1	misc_RNA
ENSG00000200448	42762860	42762959	22	-1	misc_RNA
ENSG00000278590	85368282	85368580	2	1	misc_RNA
ENSG00000200673	144849755	144850084	7	-1	misc_RNA
ENSG00000201242	27402476	27402587	13	-1	misc_RNA
ENSG00000238366	6245731	6245831	10	-1	misc_RNA
ENSG00000283636	63168600	63168847	2	1	misc_RNA
ENSG00000207209	147420199	147420300	1	-1	misc_RNA
ENSG00000207247	136934765	136934866	6	1	misc_RNA
ENSG00000199422	53462209	53462310	X	1	misc_RNA
ENSG00000242398	62005737	62006016	17	-1	misc_RNA
ENSG00000244357	45742675	45742970	3	1	misc_RNA
ENSG00000207176	32396050	32396147	12	-1	misc_RNA
ENSG00000241943	16576851	16577135	11	1	misc_RNA
ENSG00000243346	11157455	11157747	17	1	misc_RNA
ENSG00000276120	30242579	30242815	CHR_HSCHR15_4_CTG8	1	misc_RNA
ENSG00000201830	97915690	97915796	9	1	misc_RNA
ENSG00000200742	55651534	55651634	14	1	misc_RNA
ENSG00000243911	112272596	112272837	9	-1	misc_RNA
ENSG00000276200	196289409	196289707	2	1	misc_RNA
ENSG00000274079	96496180	96496462	15	-1	misc_RNA
ENSG00000207303	216351403	216351504	2	1	misc_RNA
ENSG00000207011	30059052	30059147	17	-1	misc_RNA
ENSG00000252490	43772120	43772350	2	-1	misc_RNA
ENSG00000239726	118931216	118931490	11	1	misc_RNA
ENSG00000207379	93385711	93385817	1	1	misc_RNA
ENSG00000240772	167400495	167400762	4	-1	misc_RNA
ENSG00000223168	51671236	51671563	16	-1	misc_RNA
ENSG00000206706	16314112	16314211	16	-1	misc_RNA
ENSG00000276140	134598071	134598149	8	1	misc_RNA
ENSG00000241487	73040619	73040914	14	-1	misc_RNA
ENSG00000238813	166123494	166123597	2	-1	misc_RNA
ENSG00000274303	120365666	120365963	11	1	misc_RNA
ENSG00000202241	30864250	30864552	6	1	misc_RNA
ENSG00000274963	150568971	150569269	1	-1	misc_RNA
ENSG00000223341	45060729	45061086	13	1	misc_RNA
ENSG00000206713	75089862	75089974	17	-1	misc_RNA
ENSG00000243854	19303480	19303775	12	1	misc_RNA
ENSG00000206998	43451159	43451260	20	-1	misc_RNA
ENSG00000222394	137715332	137715440	2	1	misc_RNA
ENSG00000252978	20452108	20452431	X	1	misc_RNA
ENSG00000242493	37246173	37246479	5	-1	misc_RNA
ENSG00000275689	21126271	21126396	13	-1	misc_RNA
ENSG00000201405	23370254	23370346	1	1	misc_RNA
ENSG00000264071	43492032	43492313	2	1	misc_RNA
ENSG00000201723	78544095	78544188	18	-1	misc_RNA
ENSG00000273940	61789143	61789426	9	1	misc_RNA
ENSG00000222543	25393557	25393844	10	-1	misc_RNA
ENSG00000277055	46165745	46166022	CHR_HSCHR17_1_CTG5	-1	misc_RNA
ENSG00000212448	95617689	95617786	12	1	misc_RNA
ENSG00000275293	21555138	21555457	22	1	misc_RNA
ENSG00000199245	88430442	88430550	12	1	misc_RNA
ENSG00000252233	139794125	139794433	4	-1	misc_RNA
ENSG00000274864	27099778	27099836	7	1	misc_RNA
ENSG00000199676	35853252	35853364	20	-1	misc_RNA
ENSG00000222068	133391109	133391398	2	-1	misc_RNA
ENSG00000276919	100829350	100829454	14	1	misc_RNA
ENSG00000201867	34189174	34189275	11	1	misc_RNA
ENSG00000222351	122945988	122946094	9	-1	misc_RNA
ENSG00000207480	88330176	88330278	4	-1	misc_RNA
ENSG00000222259	34049966	34050244	9	1	misc_RNA
ENSG00000241959	151464650	151464938	7	-1	misc_RNA
ENSG00000199862	127028107	127028219	4	-1	misc_RNA
ENSG00000199550	2372638	2372750	11	1	misc_RNA
ENSG00000264846	31484150	31484251	CHR_HSCHR6_MHC_COX_CTG1	-1	misc_RNA
ENSG00000242688	19970969	19971269	1	1	misc_RNA
ENSG00000276002	50258443	50258722	19	1	misc_RNA
ENSG00000242079	5142411	5142707	8	-1	misc_RNA
ENSG00000278785	84467901	84468147	15	1	misc_RNA
ENSG00000206646	68361075	68361187	X	1	misc_RNA
ENSG00000240997	87845650	87845947	6	1	misc_RNA
ENSG00000202512	109699500	109699834	5	-1	misc_RNA
ENSG00000252784	63338263	63338372	1	1	misc_RNA
ENSG00000239580	69922751	69923047	8	-1	misc_RNA
ENSG00000241992	96583209	96583527	1	1	misc_RNA
ENSG00000241227	5252926	5253223	3	-1	misc_RNA
ENSG00000278770	45526466	45526746	17	-1	misc_RNA
ENSG00000206800	77623372	77623472	13	1	misc_RNA
ENSG00000274777	56848068	56848204	19	1	misc_RNA
ENSG00000222589	5910945	5911236	8	-1	misc_RNA
ENSG00000207123	62122320	62122421	17	1	misc_RNA
ENSG00000242482	67656831	67657129	1	-1	misc_RNA
ENSG00000263672	100821027	100821264	7	-1	misc_RNA
ENSG00000222706	114253513	114253754	5	1	misc_RNA
ENSG00000243254	99613783	99614081	8	-1	misc_RNA
ENSG00000243957	78115158	78115457	3	1	misc_RNA
ENSG00000242668	53629713	53630041	19	1	misc_RNA
ENSG00000266464	33369961	33370056	CHR_HSCHR6_MHC_MCF_CTG1	1	misc_RNA
ENSG00000242315	100957883	100958180	8	1	misc_RNA
ENSG00000201498	34384165	34384265	20	-1	misc_RNA
ENSG00000206957	44697333	44697430	15	-1	misc_RNA
ENSG00000207403	121378797	121378898	6	-1	misc_RNA
ENSG00000237611	7239781	7240018	5	1	misc_RNA
ENSG00000276757	11011708	11012006	19	1	misc_RNA
ENSG00000273886	34910545	34910815	13	-1	misc_RNA
ENSG00000265918	67019519	67019817	16	1	misc_RNA
ENSG00000200252	59408905	59409015	15	1	misc_RNA
ENSG00000272096	155437538	155437823	3	-1	misc_RNA
ENSG00000276178	72983360	72983461	7	-1	misc_RNA
ENSG00000222164	18807993	18808279	7	-1	misc_RNA
ENSG00000278838	46073651	46073935	X	-1	misc_RNA
ENSG00000244326	74317986	74318285	5	1	misc_RNA
ENSG00000252021	45004348	45004454	20	1	misc_RNA
ENSG00000199197	1323794	1324085	18	-1	misc_RNA
ENSG00000222617	96486582	96486891	15	1	misc_RNA
ENSG00000199459	85435175	85435284	1	-1	misc_RNA
ENSG00000278026	181715185	181715293	3	1	misc_RNA
ENSG00000207387	70906917	70907018	12	1	misc_RNA
ENSG00000200998	78632273	78632385	4	-1	misc_RNA
ENSG00000243274	76134931	76135225	13	1	misc_RNA
ENSG00000243370	17178414	17178749	17	1	misc_RNA
ENSG00000276496	27186166	27186263	7	1	misc_RNA
ENSG00000276713	62244330	62244595	15	-1	misc_RNA
ENSG00000240639	43222206	43222509	20	1	misc_RNA
ENSG00000274076	32446674	32446964	15	-1	misc_RNA
ENSG00000264317	34421988	34422311	19	-1	misc_RNA
ENSG00000200209	38294544	38294636	19	1	misc_RNA
ENSG00000276609	27200465	27200521	7	1	misc_RNA
ENSG00000244568	184335658	184335949	1	1	misc_RNA
ENSG00000277689	63549374	63549463	1	-1	misc_RNA
ENSG00000244356	33288304	33288601	10	-1	misc_RNA
ENSG00000274754	45881211	45881312	CHR_HSCHR17_1_CTG5	1	misc_RNA
ENSG00000222078	90001222	90001506	6	-1	misc_RNA
ENSG00000200552	102336869	102336970	7	1	misc_RNA
ENSG00000202402	31244761	31244861	14	1	misc_RNA
ENSG00000283389	121897583	121897826	12	-1	misc_RNA
ENSG00000276493	32087523	32087813	1	-1	misc_RNA
ENSG00000201758	244943910	244944216	1	1	misc_RNA
ENSG00000202190	60081741	60081854	10	1	misc_RNA
ENSG00000274568	22429200	22429489	15	-1	misc_RNA
ENSG00000274710	93637179	93637338	CHR_HSCHR14_7_CTG1	1	misc_RNA
ENSG00000207497	185709873	185709967	4	-1	misc_RNA
ENSG00000207391	79534853	79534954	5	1	misc_RNA
ENSG00000273846	21379382	21379701	22	-1	misc_RNA
ENSG00000202008	201423513	201423604	2	1	misc_RNA
ENSG00000240863	58199568	58199836	16	-1	misc_RNA
ENSG00000244399	85442495	85442791	2	1	misc_RNA
ENSG00000275933	120670127	120670376	1	1	misc_RNA
ENSG00000240199	75698531	75698816	16	-1	misc_RNA
ENSG00000265052	67977698	67977972	17	1	misc_RNA
ENSG00000265955	30725828	30725938	CHR_HSCHR6_MHC_QBL_CTG1	-1	misc_RNA
ENSG00000222842	17122841	17123140	2	-1	misc_RNA
ENSG00000276309	68970439	68970752	5	-1	misc_RNA
ENSG00000207148	121329069	121329170	4	-1	misc_RNA
ENSG00000252827	96427200	96427486	12	-1	misc_RNA
ENSG00000278118	30555912	30556202	CHR_HSCHR15_4_CTG8	-1	misc_RNA
ENSG00000280502	118994334	118994630	11	1	misc_RNA
ENSG00000265078	48094801	48095105	3	-1	misc_RNA
ENSG00000222614	46736312	46736419	19	1	misc_RNA
ENSG00000265684	82078427	82078724	5	1	misc_RNA
ENSG00000252704	121736443	121736725	7	1	misc_RNA
ENSG00000222613	140779039	140779141	4	-1	misc_RNA
ENSG00000200688	112069104	112069209	12	1	misc_RNA
ENSG00000212512	202070841	202070943	1	1	misc_RNA
ENSG00000264955	31766178	31766266	CHR_HSCHR6_MHC_COX_CTG1	-1	misc_RNA
ENSG00000199831	55376526	55376852	1	-1	misc_RNA
ENSG00000242118	81967079	81967374	2	1	misc_RNA
ENSG00000243959	176547433	176547726	5	-1	misc_RNA
ENSG00000242014	33540694	33541000	6	1	misc_RNA
ENSG00000207196	70705167	70705269	11	-1	misc_RNA
ENSG00000275660	2871423	2871484	CHR_HSCHR11_1_CTG7	1	misc_RNA
ENSG00000199530	82944738	82944845	4	-1	misc_RNA
ENSG00000201075	14275508	14275600	16	1	misc_RNA
ENSG00000240718	6047721	6048023	7	-1	misc_RNA
ENSG00000276988	128483907	128484158	7	-1	misc_RNA
