contam	ensembl_id	RNA004060L1	RNA004061L1	RNA004062L1	RNA004063L1	RNA004064L1	RNA004065L1	RNA004066L1	RNA004067L1	RNA004068L1	RNA004069L1	RNA004070L1	RNA004071L1	RNA004072L1	RNA004073L1	RNA004074L1	RNA004075L1	RNA004076L1	RNA004077L1	RNA004078L1	RNA004079L1	RNA004080L1	RNA004081L1	RNA004082L1	RNA004083L1	RNA004084L1	RNA004085L1	RNA004086L1	RNA004087L1	RNA004088L1	RNA004089L1	RNA004090L1	RNA004091L1	RNA004092L1	RNA004093L1	RNA004094L1	RNA004095L1	RNA004096L1	RNA004097L1	RNA004098L1	RNA004099L1	RNA004100L1	RNA004101L1	RNA004102L1	RNA004103L1	RNA004104L1	RNA004105L1	RNA004106L1	RNA004107L1	RNA004108L1	RNA004109L1	RNA004110L1
rRNA	ENSG00000201035	5			25	56	2	3	58	107			9	22	2	2	2		9	13	1	1	4	2		1	1	6	3	9		3	4	1	20		156	2	4	1		1			9	7						28
rRNA	ENSG00000201041	2	1			4	3	2	3	2			1	11	1	1	1					2		1							3			2	2			16	29	3			2			3			9	10		5
rRNA	ENSG00000201059	8	10	7	49	44	61	26	39	19	5	3	8	21	5	21	25	3	23	12	3	1	46	258		12	63	12	2	6	6	4	8	4	7	4	9	7	4	5	2		40	11	4	5	44	2	13	8	84	22
rRNA	ENSG00000201096	5	4												1					2																5	1	11	4	7											140	
rRNA	ENSG00000201185	44	33	51	44	101	203	165	155	74	28	39	19	92	97	54	20	2	33	5	34	36	9	67	5	49	110	18	25	3	4	36	16	11	59	68	120	82	77	83	34	32	34	16	13	19	12	9	4	76	1	64
rRNA	ENSG00000201321	2014	4	58	117	136	48	75	432	177	106	89	7	99	18	384	32	2	6	20	2	1224	56	2	173	45	9	156	11	1	3	47	8	13	17	389	42	557	666	77	33	3	260	14	31	4	133	71	593	261	315	77
rRNA	ENSG00000201355	15	8	2006	360	304	245	65	522	150	17	31	49	80	550	18	14	72		1877	9	168	105	110	56	17	202	88	30	60	5	37	87	29	482	389	140	998	177	662	6	4	39	23	57	34	27	364	119	51	55	167
rRNA	ENSG00000201413	11	5		1		54	92	7	34	3	1	3	15	5	2	42			6	2				137			17	4	6	20	5	3	4	58	16	126	106	74	373	6	42	1	63	59		1	4	25	81	272	105
rRNA	ENSG00000201415	2		1	11		9			6		1				7		1						1					9	2	4	3	2	1										1			1					
rRNA	ENSG00000201588	83	35	43	144	200	712	145	579	110	72	72	59	160	179	34	33	68	3	221	46	25	2	104	44	36	339	47	12	16	45	12	8	38	78	237	497	334	889	215	56	54	64	16	78	38	129	34	157	21	15	79
rRNA	ENSG00000201595	5	4		9	4	10		9	4		2	1			1	1		2	2		2	2	2		31	7		2	1	1	2		1	182			5	12	31	2		1	3	4	1	50	36			8	10
rRNA	ENSG00000201822	37	19	55	1	4	5	33	7	10	10	2	7	18	56	18	2	7	2	73		6	51	2			40	147		37	3	74	7	3	181	51	51	125	121	103	17	36	90	8	24	118	6	55	32	15	3	289
rRNA	ENSG00000201861	3		8	5	5	4	8	32	2	4	2	2	5	4	8	1			6				8			10		6		1			3	30	8	30	59	125	59	8	5	2	16		4	85	2	2	31	1	55
rRNA	ENSG00000201920	2	1	1	1	3	22	214	4	32	8	7	44	9	6	19	4	90			4			191		43	26	37	1	33		3	2	7	231	5	268	16	11	2	16	272		3		168	217	1	357	263	233	
rRNA	ENSG00000201925	34	22	75	64	406	307	89	552	226	35	121	9	83	124	83	1	5	25	224	34	49	3	25	10	208	69	51	5	16	20	16	61	14	225	258	510	260	967	547	21	62	36	133	55	12	119	1578	159	27	61	39
rRNA	ENSG00000201931	5				15	2	11	4		1	2	1	1	1	3										1						2	1		2	6	30	38	24	24			1	8	5	1				1	53	
rRNA	ENSG00000201999	9	2				5		1	5		1		17	2						20			1											1	8		2		1				45	2				1			
rRNA	ENSG00000202257	87	80	27	186	908	247	72	885	87	272	22	267	5775	78	164	1	2	38	50	62	20	9	135	34	922	105	81	86	650	36	6	19	1029	444	477	258	461	681	294	89	201	33	21	321	173	114	37	10	62	109	484
rRNA	ENSG00000202264	22	3	4	27	9	14	39	11	7	20	6	2	68	11	19	12	4	2	24	4	4	4	5		10	2	1	7	2	2	32	11	3	8	1	3	36	2	16	13	1	6	12	2	3	7	1	3	5	2	1
rRNA	ENSG00000202521	65	141	103	81	422	61	59	477	176	20	29	49	206	255	79	128	154	28	17	1753	11	63	812	24	346	161	109	7	7	49	43	5	11	69	346	346	350	342	245	39	42	18	31	74	76	23	3	300	183	49	378
rRNA	ENSG00000202526	16	8	7	166	310	378	311	377	2182	1999	198	16	821	197	40	65		5	56	66	61	3	100	35	64	77	23	14	34	655	53	145	4	275	240	153	802	115	479	48	861	36	35	8	176	302	93	4	53	137	314
rRNA	ENSG00000222806	1				2		1	1		1	7		2	1	2					1										1					1		2	4	7					5					1		
rRNA	ENSG00000251705	4		4	2	3	1	2	3	3	2		2	16	2	5		1		2		6	1		2		1			6			1	2	27	60	61	141	110	55		1	14	3	5	1	118	139	217	229	264	201
rRNA	ENSG00000251823	22	216	66	136	68	196	266	357	141	75	28	6	89	100	4689	1010	39	1	69	152	43	20	39	5	36	73	36	4	22	9	19	70	13	91	87	86	265	173	138	55	10	17	15	38	17	84	54	139	47	263	206
rRNA	ENSG00000251920	7	82	11	4	51	72	123	11	9	36	11	55	17	9	55	11	119	4	200	20	13		2	1	66	35	34	16	5	3	7	7	4	456	286	59	125	792	116	24	28	13	16	26	4	2		92	26	15	1
rRNA	ENSG00000252211	1																																						2												
rRNA	ENSG00000252866	63		2	2	1		2	6	6	1	2	2															1					3	1	9	17		4	37	8		101	14	6		4						
rRNA	ENSG00000275215	32	27	84	71	59	42	37	119	94	93	84	25	212	62	43	52	102	80	5	217	123		57	5	45	52	26	17	42	13	15	11	10	106	146	272	261	483	308	122	100	78	65	38	143	2035	2296	2450	2221	1254	2792
rRNA	ENSG00000275877	9	9	7	16	4	7		3	6	10	5	1	9	7	27	7	2		9	9		3	6	1	20	19		1		3		4	5	9	10		16	3	9				3		3	112	121		42	8	18
rRNA	ENSG00000276871	12	6	2	1	6	43	31	13	20	2	4	14	5	5	13			2	2				15	2	3	2		7	1		5		4	11	12	31	1	3	9	4	4	6	7	1	3	115	157	99	143	35	29
rRNA	ENSG00000277739	228	223	167	102	279	317	437	465	209	136	294	266	659	519	552	276	246	171	139	235	220	69	258	57	163	368	203	139	22	51	134	169	82	608	651	613	2051	1662	1118	178	162	127	257	389	233	4484	6000	3388	6309	6605	6832
rRNA	ENSG00000278189	148	148	234	232	163	225	315	198	154	366	144	265	569	493	529	51	73	65	147	67	107	16	378	79	178	259	192	130	41	29	51	82	21	479	377	473	1028	939	557	164	183	120	135	109	70	4190	3311	3215	2568	4197	2365
rRNA	ENSG00000278233	121	207	203	125	103	126	121	139	172	144	168	166	355	374	374	157	253	99	196	218	93	6	401	20	184	119	60	18	18	75	242	31	73	446	384	539	596	1008	927	68	124	226	148	176	64	1893	3952	2459	5820	3451	2023
rRNA	ENSG00000283274	2			1	18			10	1				13		1	1		3		2					2	3									3		2						1	3		2		15		36	144
snoRNA	ENSG00000199753	116	91	84	62	80	85	231	112	151	168	83	92	301	181	175	64	57	68	190	75	95		127		117	82	27	78	64	59	92	69	94	96	87	65	207	112	174	145	79	105	147	109	99	53	31	19	23		39
snoRNA	ENSG00000200320	1	2	1	3	1	3	4	2	4	5	1				3	6			2	5	11									3	2	3	2	7	3	1			2	1	1	10	12	2	7						
snoRNA	ENSG00000200534	1	2			2		3		1		1				1					4	1										1		1							7			3								
snoRNA	ENSG00000202314	3		1						1		1	1	1							9					30			1		1		1	1								7										
snoRNA	ENSG00000202400	1										1																											1	2						3						
snoRNA	ENSG00000206611	1					1													1																										5						
snoRNA	ENSG00000206630	1			1																																															
snoRNA	ENSG00000206799	1																	3									1																								
snoRNA	ENSG00000207215	1																																											1							
snoRNA	ENSG00000207280	1		2	1	3		7	1	6	2			3	3	2				4	6	2							2	1	2			1		3	5	2	6	3			5	3	2	4						
snoRNA	ENSG00000207500	3	1	3	7	1	1	7	4	5	4	4	2	2				22	13										2					2					2						1							
snoRNA	ENSG00000220988	1																																																		
snoRNA	ENSG00000221303	1								1																													4													
snoRNA	ENSG00000221740	1				1	6	1						1	2			12		4	2														2	1			2	3	1		1	1	6	5						
snoRNA	ENSG00000222370	5		7	4	3	10	11	2	7	9	3	14	31	7	22		1		7						7			2		5	8	3	4	4	1	1	4		1	1		7	12	3	7			7		2	3
snoRNA	ENSG00000231587	3	14	4	6	14	17	26	23	12	6	13	4	26	7	16	68		40	22	31	5	48			29	26	18	18	14	8	27	8	7	22	15	15	16	25	53	65	13	14	38	13	11						1
snoRNA	ENSG00000235284	6	12	2	14	6	9	40	7	57	15		5	38	22	6		56	8	16	9	36				24	68	13	17	18	7	6	7	26	1	50	4	62	42	5	16	20	16	22	16	18				38		24
snoRNA	ENSG00000238578	5			1					1		1																						1		5				2		4			2							
snoRNA	ENSG00000262074	1	2	1	2	3	2	5	2	3	11		4		5	40	1		3	5	2	3		4		16			3	2		7	3	4		6	35	1	5	5	10	21	9	13	1	1						
snoRNA	ENSG00000263764	1				3				4					1	1											38						1				5															
snoRNA	ENSG00000263934	4					38	34		5	4	4		10			1					4							13			8					1		5	17		1			2							
snoRNA	ENSG00000264549	3	7	8	1	7	6	12	8	4	12	5	8	15	21	16	16		19	11	6	26							9	2	2	14	7	6	5	43	20	17		8			10	4	7	6						
snoRNA	ENSG00000264940	17	3	8	10	23	8	5	6	9	12	2	26	32	6	4	69			24		3	16		9	5	2		4	3	8	3	7	11	24	3	1	11	5	4	55	19	51	100	29	61	7	37		13		
snoRNA	ENSG00000271982	2																																																		
snoRNA	ENSG00000275043	2	4			3		11		1		2									8	1								4		1	2	2		5			1	5	15	5										
snoRNA	ENSG00000276788	2		1	5	9	6	7	7	2	6	3	3	4	4	1		26		5	26		52						8	2	3	7		6	6	4		8	1	9	13			14	7	11						
snoRNA	ENSG00000277194	1	2		1		2	1		2	3		1	3	4	5					2				58	2			4			1		4	2		4	2		1				2		1						
snoRNA	ENSG00000277947	1		6	2	1	2			1				2							9	7							2												11		23	2								
snoRNA	ENSG00000281910	1				1																																			2					2	4					
snRNA	ENSG00000199695	1																																																		
snRNA	ENSG00000222293	15			2	1	2	3		1	6	4	3	3	4	2					1		74				29	6	3	1	3	2	1	1	2	2	1	11	1	6	3			6		11						
snRNA	ENSG00000222328	17	5	5	15		5	5	8	12	4	3	1	4	6	4			6	9	7	3	1				3			3	2	12	3	3	10	5	2	3	2	4	8		13	15	10	7			6			
snRNA	ENSG00000222389	2	1	1				1			2																																2									
snRNA	ENSG00000222465	36	3		1	1	2	2	2	1			1			3															5	2	2	3																		
snRNA	ENSG00000222477	7			1	2																											1																			
snRNA	ENSG00000222626	2	10		3	2	2		1	2	2			21	2	8					3								2	1						6	3						7			2			2			
snRNA	ENSG00000222627	3		6	12	7	8	17	3	1	21					2		11		30	12	7									7						8		20													
snRNA	ENSG00000222644	39	10		1		1	6		1		2																		3					7									1								
snRNA	ENSG00000222788	4	1	5	3				2							1													1		1		1			1																
snRNA	ENSG00000223198	2																																																		
snRNA	ENSG00000223336	2	3	2	2	3	1					1																	1																	5						
snRNA	ENSG00000252018	16	1			3	2																								3																					
snRNA	ENSG00000252212	1		1	6		1																																													
snRNA	ENSG00000273709	6	3		3	2	1		4	2	1			1	2			9	17										26		2	2	1	2				4		1	2					1						1
snRNA	ENSG00000274062	39	11	8	11	1	5	3	3				1	3	4	2				8	2						20	3	1			1		2	6	3	9	3		1	14	2	3	4		18	1		7		1	
snRNA	ENSG00000274432	8	2		4	6	4			1	4			10			5	8									1			4	12	1	15	15				20			12	10			1	2	1					6
snRNA	ENSG00000274452	3	3	1	4	3	1	15	2	19	1	2	7	10		3			4			7	65	1				11	1	1	2	1				3		1			7				3					7		
snRNA	ENSG00000274585	6	1		10	14	4	18					2						5	3						11				3		9	2		6			10	3					4							6	
snRNA	ENSG00000274862	15		1		5	4		4	15	2	3	4	57	1	1						20									3		1	3	23				1				22	34			30					
snRNA	ENSG00000274978	3	3	9	6	8	11	25	12	27	3	8	10	55	47	34			30	4	3					41		16	5	5	7	17	8	5	16		4	14	11		15			18	6	8						
snRNA	ENSG00000275219	21	2		1	7	1		4					4		6	4	1	13	4	1										18	4		10		6		3		21						2						
snRNA	ENSG00000275616	8	1	1		3	17		1	7				13	16	30				3		3				8					4						3	1		6				1								
snRNA	ENSG00000276027	5	1	5	3	2	11	16	3	5	2	2	7	6	10	8	1	2		2	4	9		2		5			4	1	2	4	2	2	8	2	9	1	4	7	6	5	8	15	3	5	2					3
snRNA	ENSG00000276596	20	1	16	11	9	1	7	3		16	1	5		4	11				12	5		13				2			4	3	19	1				9					1			4	8		4				1
snRNA	ENSG00000277084	4	19	2	2	6	6	4								2																7																				
snRNA	ENSG00000277903	11	5	8	1			7	2	10	3						2		11		7										8			3	15	20		5	3	3				4	2							1
snRNA	ENSG00000278048	8	1		1	4	2	2	13	2	10	1				1	27				1		3	19							1			1	3					1			1	9		7						
snRNA	ENSG00000278099	2		1				1		1	3		1																	1		2			1	1				1												
snRNA	ENSG00000278135	1		9					1																																											
snRNA	ENSG00000278591	8	1		11			1	1	2	1	8	1	1	5			2					39						3	4		4		1	3	1	4	4	3			3		4	14			7				
snRNA	ENSG00000278774	22	25	4	7	8	1	3	2	6			26		21	9							1				1						1	1		11	2	18		7	5	5		5	2		4				3	
snRNA	ENSG00000283545	1																																																		
snRNA	ENSG00000283555	1																																																		
tRNA	tRNA1-GlnCTG	1	3	4		1	2	5		4	6	2	1	5	2	3						11					2	1		1	3	3		3		7	2	4	2	4			9	5	3					9		
tRNA	tRNA1-PheGAA	3		1	3	3		5					1	1												2		5													8				2	1						
tRNA	tRNA1-SeCTCA	3					2	1					2	1		3																1											1									
tRNA	tRNA10-LysCTT	18	7	22	17	4	22	20	1	2	4	13	14		7	20	1			4		21		1	47		23		2	4	4	20	2	6	8	9	21	7		4	18	5	7	4	12	8						
tRNA	tRNA10-MetCAT	1	2	5		2	1	5	5	11	15	5	4		3	6				1							42			3		2	1				2	1							7	4						
tRNA	tRNA10-PseudoCTC	3	1		1				2				3		1						1					1	1			3		1					2								1							
tRNA	tRNA108-AsnGTT	1																																																		
tRNA	tRNA11-GluTTC	13	14	73	62	47	62	39	52	10	74	11	43	27	12	58		58	15	20	23	46	53			64		28	38	40	22	103	43	67	20	10	5	52	34	33	40	72	44	177	30	46	9		1		22	
tRNA	tRNA11-LysCTT	11	39	30	2	14	24	30	6	27	2	27	14	15	3	14				4	68			25		28	29	21	16		3	1	15	15	34	24	31	11	10	14		34	12	67	1	9	1			2		
tRNA	tRNA112-GlnCTG	2	4			4	3	8	1	4	3	1	5							1	1	3								1			3	3	8		3	4	2		14		1	1		4						
tRNA	tRNA116-GluCTC	2	14	16	1	4	3	43	4	3	68	108	275	16	1	2		5	12	97	1	18				1	388	29	43			11	6		9	32		4	1	4	8	14	3	119	85	19					60	
tRNA	tRNA118-PseudoTTT	1			1			1																																												
tRNA	tRNA119-AlaCGC	1					2			4		5		4	1	1					3	1		4			3				1	3		1			19		1	4		7				4						7
tRNA	tRNA12-ProAGG	1	1	6		3		2				1	1			3				4						7	2				2			7										14								
tRNA	tRNA12-ProTGG	14	16	9	15	9	14	24	29	36	22	16	10	44	24	34		19	19	25	18	8	1	6	2	24			8	8	12	7	11	12	34	21	6	47	12	17	28	11	4	11	7	19		12				1
tRNA	tRNA12-ValAAC	2											2							1	6																															
tRNA	tRNA120-AlaAGC	2			1	3	1				31	5	21	22	2	18		1				1	7			2	1	7		1		1	1			6							5	4		2						
tRNA	tRNA128-GlyGCC	11	7	9	192	19	1	21	53	13	14	11	9	27	1047	1	10	834	1	46	5	1				20	29	26	14	361	3	31	10		20	8	2	19	6	5	21		7	34	5	1719	1	25		1	7	2
tRNA	tRNA13-LysCTT	30	70	23	22	40	32	42	37	30	40	33	28	65	61	53	57	58	41	142	121	83	48	126		46	73	30	29	44	24	38	33	59	19	41	16	37	15	30	27	25	35	100	34	31	29	35	2	1	14	6
tRNA	tRNA13-ValCAC	3	4			3	1	1	1	4	3	1	5	2	2	4				2		5	79	1	1	19				3	2	1		3	1	9	7	2	3	3	8	1	9	2			37					
tRNA	tRNA134-GluTTC	1	6	3	2	1	3	2	8	5	6	14	7	2	2	10	1					7				30	1		1	5	1	5	3	7				5	7	6	12			12	3	4	44					
tRNA	tRNA137-Pseudo	2				1						1			1	1													1				1		1					2		144										1
tRNA	tRNA14-LysTTT	1	5		4	4	16	2	1	3	7		4	1	2	3	1	1	15		6						9		2	3	5	3	2		2		3	3		3		6	1	9	3	3						
tRNA	tRNA14-ProTGG	10	16	23	9	120	7	225	3	3	5	104	4	190	13	8	2	2		3	1	4				1	1		8	84	3	1	2	14		1	6	29	185	5	10	2	115	10	2	4			1			
tRNA	tRNA14-TyrGTA	3			1																				4													5					4									
tRNA	tRNA143-LysTTT	2		2	3	1		2		2				1		3											1	3		1		1		1						1		6		2	4							
tRNA	tRNA144-AspGTC	3					2	1	1		2					3																1								1												
tRNA	tRNA146-GlnCTG	5		12	6	10	5	4	9	12	11	6	15	9	5	3				12		8				1	2	4	2		3	2	4	6	29	20	14	6	4	4	32	2	7	14	9	6		3		5	29	
tRNA	tRNA148-SerTGA	1										2	3															2								1	5				1			1								
tRNA	tRNA15-TyrGTA	1		2	2						1	1								1		1											2		7	13								2							30	
tRNA	tRNA15-ValAAC	16	21	30	15	9	13	41	41	25	53	85	39	40	40	29	49		17	38	20	19		1	1	50	17		12	8	8	29	24	12	61	24	36	49	55	97	48	6	29	75	64	24					43	36
tRNA	tRNA150-MetCAT	2			1				4		3											3									1					6		2		5												
tRNA	tRNA152-ValCAC	33	49	45	26	48	43	62	44	40	85	67	56	73	74	65	53	88	15	62	69	41		129	67	50	25	30	17	34	19	83	43	40	38	59	46	86	55	125	73	86	46	118	64	33	60				27	
tRNA	tRNA154-IleAAT	3		1			2			1		1			1						1			18															2													
tRNA	tRNA17-PseudoTTC	1		1	1		1	2					2			2	1		1				1	1		1			1			3		2	1		2	3				3			1	1						
tRNA	tRNA17-ValTAC	1								1						2	21														1					8																
tRNA	tRNA172-SerTGA	1		1		1	1	2	2											2							3																									
tRNA	tRNA174-GlnTTG	1		1	4	1	3	10	4	1	3	3	3	4	1	4					2	2		2		9		25	5		1	1	2			5	11	2	2	2	5		12		2	1			5			
tRNA	tRNA19-ArgTCG	6	4				1	2	2				1									1				5			3							9	2	2								1						
tRNA	tRNA19-GlnCTG	1	1	3		3	2	3	1	1	5	1	3		1				1		5									1						2	9	1					9	2		1					1	
tRNA	tRNA19-GlyGCC	9	31	8	6	8	8	1235	14	13	20	27	14	2	16	6	6	2		17	28	3		771		36	19	1	488	3	3	934	17	1113	205		421	15	20	5	14	9	1	33	46	29	224	51	85		228	2
tRNA	tRNA2-GlyGCC	32	2	18	2	17	308	39	17	25	16	31	26	31	23	824	53		1	27	1763	17	2	38	130	79		3	12	3	6	29	694	10	19	8	27	17	23	522	18	13	15	40	54	14	5	1			20	
tRNA	tRNA2-LeuTAG	2						1								2								30								1												1								
tRNA	tRNA2-LysCTT	14	18	68	5	4		52	14	37	13	24	8	1	17	13	18	24	1	61		1				1		42	1		7	5	7	8		20	9	1	5	6	27		24	4	8	13						
tRNA	tRNA2-LysTTT	3	7	6	9	7	14	26	29	14	16	15	11	4	28	26				2	20	9				47	15	16	4	1	9	10	4	6	21	9	11	5	2	2	6	21	3	29	9	9						
tRNA	tRNA2-MetCAT	1				1									1	1																2		1			2							1								
tRNA	tRNA2-ProAGG	1	7		20			1	1		1		6	2		1										32			9		10					117	8			1	1					2						
tRNA	tRNA2-TyrGTA	1		1	1	1	2	1		3	4		4	2		1					1				11	1				2	1	3		2	1	6			1				2	2	1	3					1	
tRNA	tRNA2-ValAAC	3									1	1			1											2		1					1	1										11	1	21				2		
tRNA	tRNA2-ValCAC	14												3								1						6		1			1				2		4			2										
tRNA	tRNA20-GluTTC	13	9	11	6	9	3	4	9	11	4	20	26	31	28	6	15	1	12	16	17	7			1		28	29	2	6	4	6	20	5	48	19		8	11	16	1	41		13	6	7						
tRNA	tRNA22-ProAGG	6	127	1	1			6	11	1			94		131	125	5			20	3							16			1	2		6		2	2	6					8	4	4	1		2			24	1
tRNA	tRNA23-ProAGG	5	10	96	76	6	67		12	119	14	6	2	2		23		48	81	7	8					1		15	1	3	58	4			24	2		3	1	4	5		1		122	9						
tRNA	tRNA24-GlyGCC	10	1279	5	3	2	1	11	9	22	27	851	4	24	9	6		6	2	26	9	2		2	19	66	6	17	1	3	3	4	5	12		461	1	17	31	5	1663	1348	881	76	12	8	5			14	1	3
tRNA	tRNA25-GlyGCC	20	16	1007	2	9	5	16	863	943	23	8	33	564	20	3	450	2	21	28	14	1422	1	2		1654	1831	7	12	6	1	3	5	14	4	32	17	19	7	4	23	6	23	25	11	40	49	108		3	5	14
tRNA	tRNA26-CysGCA	1	1		4	2				3		1	2	1	2	5		13	8	7								26			2	3			5							3				2						
tRNA	tRNA26-LeuCAG	1	4	2	2	1	1			4	1		1		11	2						11				74				3		5		15	60	30	1	1		20	2		38		16	9						14
tRNA	tRNA27-GlyCCC	4		10	4	1	2	4	2		3	2	1	3	12	2				8	1	12	1					1	2	3	6	4	2	3		5	3	1	4		1			7	1	7	57	8			1	
tRNA	tRNA28-GlnCTG	1								3		1																9			3			1									1	3		2						
tRNA	tRNA28-ProTGG	2	2	17	9	4	15	10	3	22	6	3	6	20	9	15	3		5	4	6	144		6	39	12	27	40	2	4	4	5	3	17	5	2	7	3		8	77	28	4	3	2	30	1	1	6	1		
tRNA	tRNA29-ProAGG	125	1	1	9		2	14			112	15		38	5	5	63			2	175		1								5	103	76	1	6		2	8		28	13	1		110		97			52			
tRNA	tRNA3-ArgCCT	4	1	3		19	6	7	4	4	6	9	1	5	8	13		17			11										2	1	1		10									1	7	5				76		
tRNA	tRNA3-CysGCA	3			3	2			2	1	1		1	11		4													3			3			1																	
tRNA	tRNA3-GlnCTG	9	6	4	1	8	2	8	1	3	9	2	4	1	1	1	25			30		5		6				11					1	1	12	9	7	2	10	1	7	18		1		2						
tRNA	tRNA3-GluTTC	44	31	22	28	17	22	119	51	95	54	150	74	150	125	124	52	19		47	16	7	6	1		106	14	13	28	17	18	14	45	11	81	57	39	14	16	58	46	17	61	18	72	58	94	64		37		6
tRNA	tRNA3-ProTGG	1	1	3	2	1	4	15	1	1	14	14		4	1	17		5				13			1	2	24	5	1	1	2	6	1	2		3	1	5		3	17	1	20	1	3	1		1			10	
tRNA	tRNA30-CysGCA	4						2		5	6		2	2	4							9									4		3		8			2		2						6						
tRNA	tRNA30-ProCGG	2	2	2	2	1	9	7	4	8	10	2	7	5	5	3	5	2	6	3	2	5		3		4		4	79	3	3	6	2	3	4	1	3	1			6		11	5	1	7						
tRNA	tRNA32-LysCTT	8	1	1	5	2			2	4	2	1	3	2	3	6				17				22				18	1	1		11			13		6			9	7	15		11		5						
tRNA	tRNA33-HisGTG	2	1		1	2	1	12	3	3	1	3	1	5	6	3						2	6	1				1				5		6	11	1	1	1		3	17	11	7		11	4						
tRNA	tRNA34-GlyCCC	5	20	6	2	7	5	15	15	6	8	16	14	2	15	11					3			39		12	1	20	1	2	6	13	12	3	8	4	1	10	2	1	6			1	1	4	1					
tRNA	tRNA34-LeuCAG	1							1					16	1																			1			1					1										
tRNA	tRNA37-GlyGCC	8	4	3				14	1		1054	6	723	14	11	1				1758	13	4				8		1	3	1		4	1			13	5	4	269	1		60		3	8	1						27
tRNA	tRNA37-ProCGG	1		1		3	10	2		12	11	1	3	3	35	2		1		8	11	4	1	2		94	105	1			1		14	103	9	20	65	18	31	22				9	5	5		1				17
tRNA	tRNA38-AspGTC	2	6	1	1	3		1	2	1	1		3	9	4	1					10									1			1			13		6		9	2											
tRNA	tRNA39-GlyGCC	1		6	8	438	2	3	8		19	42	12	2	6	10		3		9	3	2				1	1	1		3	4	6	4	3	6	3		536			1	2	13	4	2232		3					
tRNA	tRNA4-AspGTC	8			1	3		3	5							5			20										3							6					6		14		13							
tRNA	tRNA4-ValAAC	64			6	1		1													1																						1	1								
tRNA	tRNA41-GlyGCC	17		2	3		9	30	1		16	1	4	3	10	22	3			5	7					4	5	1	6	2		7	2			3	2	2	3	14		4	5		7				1	15		
tRNA	tRNA47-AsnGTT	1											2		1																																					
tRNA	tRNA49-GlnCTG	1	3			3		2	2	3	5	1	15	4	2	3			3	29		4	7		23					1	1	2	4	2	9	2	4	3	1	6		4	7	1	3	4						
tRNA	tRNA5-AspGTC	4	4	2	7	5	2	7	4	4	3	3			2	5															1	2	1											2								
tRNA	tRNA5-GluTTC	10	6	20	17	5	21	30	1	5	14	17	18	2	5	21	1			3		15			38				4	1		41	11	9	4	33	27	11	5	16	20	24	7	37	22	16						31
tRNA	tRNA5-ValAAC	2							13	2		9		12					2												5		1	1	7	1	3		5				828	1			29		1			1
tRNA	tRNA52-ProCGG	1								2	3	1						170		187							1				1							267			28	152										
tRNA	tRNA55-IleTAT	1					7		1	2	6	1	4	4	1	3						2						1	1		1					1						2	5	2		1						
tRNA	tRNA59-GluCTC	177	14	137	5	99	159	336	18	14	50	309	18	76	71	27	59	165	2	26	21	167	3	205	105	41	141		120	247	25	18	322	14	49	336	65	136	156	9	32	204	30	23	274	162	3	72		44	114	38
tRNA	tRNA59-IleAAT	1																																																		
tRNA	tRNA6-TrpCCA	4	2	2	1	4			1		2	1	1		2	5			5	5										3		2	1							1					4	9						
tRNA	tRNA6-ValCAC	1	1		3	2	12	6	1	5	29	2	1	2		1	1		1		2				1	1					2		1		1	1			2		5	1	2	5	1	2	1					
tRNA	tRNA60-PseudoTAA	1	1				1	1	1				1	1						1			1					1						1				2		2	1						4		7	6	2	
tRNA	tRNA62-LysTTT	1	3	2	11	12	2	7	2	4	2	4	10	10	14	3	23	14		3		2					35	1		6	1	2	1	4		1	8	5	3					2	5	2						
tRNA	tRNA62-SerGCT	1	1		1			3	1																														2						2							
tRNA	tRNA65-ProAGG	1		1	2	7	2	3	3		6	1		10	1	1	11	4			4	13	64				2	63	6	4		13		11	68	1	2	4		11	14			1	3	3	32					
tRNA	tRNA67-LeuCAG	9	1				1	43	3	1			31		2	23	9	1	2	12	3		35	51		9		1	5		10	3	1		2		81	15	12			15		25				32	20	22	49	
tRNA	tRNA68-GlyGCC	754	17	1	8	8	4	33	7	11	16	6	6	17	64	17	2	4		43	4	8		3		159	4	2	4	4	264	6	11	5	2	18	12	7	27	8	49	17		2303	5	2	1	2		123	41	210
tRNA	tRNA7-GlnCTG	17	22	16	9	6	31	50	31	35	35	39	27	35	27	28	52	13	37	57	25	20	7	5		69	40	96	5	8	12	12	11	14	21	36	25	13	17	22	14	18	45	21	30	45	1		2		1	6
tRNA	tRNA7-HisGTG	15	23	13	8	12	3	10	7	18	18	11	15	24	6	23	12	18		2	20	18	59		1	23		26	3	7	10	6	11	7	9	26	6	12	29	8	7	12	17	13	15	18	1	45				
tRNA	tRNA7-LeuCAG	4								17	31		2														36																									
tRNA	tRNA7-LysCTT	5								6	1		3	7	16	1			16	1		1					1			1	8	9	1	9	4									3		4	50					
tRNA	tRNA7-SerGCT	1					3		4		3		2		1	1								38								1			1	3				2												
tRNA	tRNA71-GluCTC	18	159	606	24	67	234	79	12	73	24	17	28	66	467	150	21	34	1	17	397	52	2	4	97	23	5	36	266	8	60	15	26	139	84	110	104	146	334	129	167	404	72	17	187	18	1	32	80	1	57	3
tRNA	tRNA73-ArgCCG	13	12	19	19	28	14	21	26	27	8	16	13	5	21	16				13	2	6				72	64	16	6			15	11	6		26	20	7	3	12		19		11								
